date,bytesIn,bytesOut,packetsIn,packetsOut,applicationName,destinationAddress,protocolNumber,sourceAddress
7/13/2018 5:23:22.000000000 PM,0,14390,0,25,,g1.inside.local_192.168.1.1,,router.c2.local_111.16.2.11
7/13/2018 5:23:22.000000000 PM,0,11880,0,18,The Secure Shell (SSH) Protocol,g1.inside.local_192.168.1.1,6,router.c2.local_111.16.2.11
7/13/2018 5:23:22.000000000 PM,0,2510,0,7,Xml-Ipc Server Reg,g1.inside.local_192.168.1.1,6,router.c2.local_111.16.2.11
7/13/2018 5:23:25.000000000 PM,2632,0,8,0,,mail.c2.local_111.16.2.2,,g1.inside.local_192.168.1.1
7/13/2018 5:23:25.000000000 PM,2632,0,8,0,Xml-Ipc Server Reg,mail.c2.local_111.16.2.2,6,g1.inside.local_192.168.1.1
7/13/2018 5:23:33.000000000 PM,110,0,2,0,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 5:23:33.000000000 PM,110,0,2,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 5:23:35.000000000 PM,4248,0,35,0,,store.s1.local,,router.c2.local_111.16.2.11
7/13/2018 5:23:35.000000000 PM,4248,0,35,0,The Secure Shell (SSH) Protocol,store.s1.local,6,router.c2.local_111.16.2.11
7/13/2018 5:31:01.000000000 PM,36969,0,56,0,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 5:31:01.000000000 PM,36969,0,56,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 5:36:01.000000000 PM,31307,1429,40,6,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 5:36:01.000000000 PM,31307,1429,40,6,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 5:41:01.000000000 PM,16032,1429,26,6,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 5:41:01.000000000 PM,16032,1429,26,6,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 5:44:01.000000000 PM,34807,2091,8,35,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 5:44:01.000000000 PM,34807,2091,8,35,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 5:46:01.000000000 PM,6830,2858,25,12,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 5:46:01.000000000 PM,6830,2858,25,12,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 5:47:01.000000000 PM,0,2091,0,35,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 5:47:01.000000000 PM,0,2091,0,35,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 5:49:01.000000000 PM,310,0,2,0,,192.168.0.2,,router.c2.local_111.16.2.11
7/13/2018 5:49:01.000000000 PM,310,0,2,0,Domain Name Server,192.168.0.2,17,router.c2.local_111.16.2.11
7/13/2018 5:51:01.000000000 PM,19418,4559,35,21,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 5:51:01.000000000 PM,19418,4559,35,21,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 5:56:01.000000000 PM,15320,1701,20,9,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 5:56:01.000000000 PM,15320,1701,20,9,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:00:01.000000000 PM,15231,1701,18,9,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:00:01.000000000 PM,15231,1701,18,9,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:01:01.000000000 PM,35396,3402,39,18,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:01:01.000000000 PM,35396,3402,39,18,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:02:01.000000000 PM,0,76,0,1,,216.6.2.70,,router.c2.local_111.16.2.11
7/13/2018 6:02:01.000000000 PM,0,76,0,1,Network Time Protocol,216.6.2.70,17,router.c2.local_111.16.2.11
7/13/2018 6:06:01.000000000 PM,25240,1701,27,9,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:06:01.000000000 PM,25240,1701,27,9,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:11:01.000000000 PM,10061,3402,10,18,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:11:01.000000000 PM,10061,3402,10,18,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:12:01.000000000 PM,357,0,1,0,,192.168.0.1,,router.c2.local_111.16.2.11
7/13/2018 6:12:01.000000000 PM,357,0,1,0,Bootstrap Protocol Server,192.168.0.1,17,router.c2.local_111.16.2.11
7/13/2018 6:13:01.000000000 PM,44557,25961,13,493,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 6:13:01.000000000 PM,44557,25961,13,493,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
